"GEO_ID","id"
"B01001_034E","Estimate!!Total!!Female!!22 to 24 years"
"B01001_034M","Margin of Error!!Total!!Female!!22 to 24 years"
"B01001_035E","Estimate!!Total!!Female!!25 to 29 years"
"B01001_035M","Margin of Error!!Total!!Female!!25 to 29 years"
"B01001_036E","Estimate!!Total!!Female!!30 to 34 years"
"B01001_036M","Margin of Error!!Total!!Female!!30 to 34 years"
"B01001_037E","Estimate!!Total!!Female!!35 to 39 years"
"B01001_037M","Margin of Error!!Total!!Female!!35 to 39 years"
"B01001_038E","Estimate!!Total!!Female!!40 to 44 years"
"B01001_038M","Margin of Error!!Total!!Female!!40 to 44 years"
"B01001_039E","Estimate!!Total!!Female!!45 to 49 years"
"B01001_039M","Margin of Error!!Total!!Female!!45 to 49 years"
"B01001_040E","Estimate!!Total!!Female!!50 to 54 years"
"B01001_040M","Margin of Error!!Total!!Female!!50 to 54 years"
"B01001_041E","Estimate!!Total!!Female!!55 to 59 years"
"B01001_041M","Margin of Error!!Total!!Female!!55 to 59 years"
"B01001_042E","Estimate!!Total!!Female!!60 and 61 years"
"B01001_042M","Margin of Error!!Total!!Female!!60 and 61 years"
"B01001_043E","Estimate!!Total!!Female!!62 to 64 years"
"B01001_043M","Margin of Error!!Total!!Female!!62 to 64 years"
"B01001_044E","Estimate!!Total!!Female!!65 and 66 years"
"B01001_044M","Margin of Error!!Total!!Female!!65 and 66 years"
"B01001_045E","Estimate!!Total!!Female!!67 to 69 years"
"B01001_045M","Margin of Error!!Total!!Female!!67 to 69 years"
"B01001_046E","Estimate!!Total!!Female!!70 to 74 years"
"B01001_046M","Margin of Error!!Total!!Female!!70 to 74 years"
"B01001_047E","Estimate!!Total!!Female!!75 to 79 years"
"B01001_047M","Margin of Error!!Total!!Female!!75 to 79 years"
"B01001_048E","Estimate!!Total!!Female!!80 to 84 years"
"B01001_048M","Margin of Error!!Total!!Female!!80 to 84 years"
"B01001_049E","Estimate!!Total!!Female!!85 years and over"
"B01001_049M","Margin of Error!!Total!!Female!!85 years and over"
